theta_deg,c2X_position_mm,gap_position_mm,c2X_velocity_mm_per_deg,gap_velocity_mm_per_deg
5.810810810810810523e+00,9.877127184966734319e+01,1.005164915894859590e+01,-1.693952928990689699e+01,1.785341765461796737e-02
5.855855855855855552e+00,9.801410969496143366e+01,1.005245653810495021e+01,-1.667947444336605400e+01,1.799422623526593726e-02
5.900900900900900581e+00,9.726852741917751644e+01,1.005327026125675438e+01,-1.642535224128706162e+01,1.813509112777180951e-02
5.945945945945945610e+00,9.653426184550356481e+01,1.005409033095075166e+01,-1.617698358889872523e+01,1.827601278396701057e-02
5.990990990990990639e+00,9.581105771223694489e+01,1.005491674975404770e+01,-1.593419609890730193e+01,1.841699165611900696e-02
6.036036036036035668e+00,9.509866737744464160e+01,1.005574952025413538e+01,-1.569682379228806468e+01,1.855802819693488231e-02
6.081081081081080697e+00,9.439685053674941173e+01,1.005658864505890548e+01,-1.546470681453348028e+01,1.869912285956498374e-02
6.126126126126125726e+00,9.370537395356679156e+01,1.005743412679666982e+01,-1.523769116645233801e+01,1.884027609760648495e-02
6.171171171171170755e+00,9.302401120115646904e+01,1.005828596811618780e+01,-1.501562844867305024e+01,1.898148836510702916e-02
6.216216216216215784e+00,9.235254241588877733e+01,1.005914417168667896e+01,-1.479837561905976351e+01,1.912276011656836514e-02
6.261261261261260813e+00,9.169075406116158433e+01,1.006000874019784419e+01,-1.458579476230064387e+01,1.926409180694996573e-02
6.306306306306305842e+00,9.103843870143504091e+01,1.006087967635989244e+01,-1.437775287097543142e+01,1.940548389167263965e-02
6.351351351351350871e+00,9.039539478588184807e+01,1.006175698290355314e+01,-1.417412163745310316e+01,1.954693682662220905e-02
6.396396396396395900e+00,8.976142644117909697e+01,1.006264066258010637e+01,-1.397477725601184595e+01,1.968845106815315937e-02
6.441441441441440929e+00,8.913634327299405413e+01,1.006353071816139710e+01,-1.377960023461135997e+01,1.983002707309227883e-02
6.486486486486485958e+00,8.851996017574160192e+01,1.006442715243985653e+01,-1.358847521578317696e+01,1.997166529874232210e-02
6.531531531531530987e+00,8.791209715021346938e+01,1.006532996822852688e+01,-1.340129080613762902e+01,2.011336620288569840e-02
6.576576576576576016e+00,8.731257912870241000e+01,1.006623916836108812e+01,-1.321793941401699968e+01,2.025513024378814905e-02
6.621621621621621046e+00,8.672123580726409386e+01,1.006715475569186502e+01,-1.303831709485306867e+01,2.039695788020241471e-02
6.666666666666666075e+00,8.613790148477909270e+01,1.006807673309586093e+01,-1.286232340381389783e+01,2.053884957137192685e-02
6.711711711711711104e+00,8.556241490849575371e+01,1.006900510346878086e+01,-1.268986125534994791e+01,2.068080577703454784e-02
6.756756756756756133e+00,8.499461912575122824e+01,1.006993986972704569e+01,-1.252083678927271926e+01,2.082282695742620343e-02
6.801801801801801162e+00,8.443436134158446293e+01,1.007088103480782060e+01,-1.235515924302098156e+01,2.096491357328468183e-02
6.846846846846847079e+00,8.388149278196964076e+01,1.007182860166903460e+01,-1.219274082979003992e+01,2.110706608585328353e-02
6.891891891891892108e+00,8.333586856241319651e+01,1.007278257328940541e+01,-1.203349662221846117e+01,2.124928495688457181e-02
6.936936936936937137e+00,8.279734756167012222e+01,1.007374295266846431e+01,-1.187734444134447997e+01,2.139157064864415092e-02
6.981981981981982166e+00,8.226579230034903389e+01,1.007470974282657217e+01,-1.172420475056105538e+01,2.153392362391433335e-02
7.027027027027026307e+00,8.174106882418597309e+01,1.007568294680495491e+01,-1.157400055431397412e+01,2.167634434599794921e-02
7.072072072072071336e+00,8.122304659177929409e+01,1.007666256766571244e+01,-1.142665730130217305e+01,2.181883327872207595e-02
7.117117117117116365e+00,8.071159836658765130e+01,1.007764860849185062e+01,-1.128210279195300281e+01,2.196139088644181309e-02
7.162162162162162282e+00,8.020660011300356018e+01,1.007864107238731144e+01,-1.114026708995798387e+01,2.210401763404406736e-02
7.207207207207207311e+00,7.970793089632427098e+01,1.007963996247698013e+01,-1.100108243766680971e+01,2.224671398695127547e-02
7.252252252252252340e+00,7.921547278645032009e+01,1.008064528190672426e+01,-1.086448317514826378e+01,2.238948041112530374e-02
